"modul","semester","termin","pruefer","anzahl","bestanden","nichtBestanden","schnitt","schnittBestanden","X1_0","X1_3","X1_7","X2_0","X2_3","X2_7","X3_0","X3_3","X3_7","X4_0","X5_0","ohneNote"
112,52,"16.02.2011","Oestreicher",195,172,19,3.059,2.822,0.5,1.5,6.2,12.3,10.8,11.8,15.9,10.3,9.2,9.7,10.8,1
112,53,"20.07.2011","Oestreicher",179,146,23,3.262,2.882,1.1,3.9,2.2,6.1,9.5,14.5,14,10.1,12.8,7.3,17.9,0.6
112,54,"15.02.2012","Oestreicher",218,198,16,3.071,2.892,0.5,1.4,4.6,9.6,12.4,14.2,13.3,12.8,12.8,9.2,4.1,NA
112,55,"25.07.2012","Oestreicher",201,149,34,3.607,3.133,NA,0.5,2,7,7,8,11.4,11.9,9.5,17.4,25.4,NA
112,56,"13.02.2013","Oestreicher",296,239,46,3.317,2.93,1.4,2.4,4.1,4.7,10.1,10.8,14.2,12.5,9.8,10.8,18.6,0.7
112,57,"17.07.2013","Oestreicher",170,100,50,3.976,3.279,0.6,1.2,1.2,2.9,4.1,5.3,5.9,8.2,11.2,18.2,40,1.2
112,58,"12.02.2014","Oestreicher",291,223,45,3.22,2.685,4.8,3.4,5.5,8.6,12,7.2,8.2,9.3,8.9,8.6,23,0.3
112,59,"30.07.2014","Oestreicher",234,189,36,3.203,2.795,2.6,2.6,5.6,7.3,12.8,10.3,10.3,9.4,11.5,8.5,18.4,0.9
112,60,"11.02.2015","Oestreicher",244,204,40,3.217,2.876,1.6,0.8,7,7.4,14.8,10.7,8.2,8.2,10.7,14.3,16,0.4
112,61,"22.07.2015","Oestreicher",222,182,40,3.125,2.713,0.9,5,4.1,11.3,15.3,12.6,9,5.9,6.8,11.3,18,NA
112,62,"17.02.2016","Oestreicher",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
113,52,"19.02.2011","Möller",224,182,35,3.348,2.995,0.9,1.3,3.6,4.9,10.3,12.5,10.7,14.3,9.8,12.9,17.4,1.3
113,53,"29.07.2011","Möller",157,143,9,2.745,2.556,1.3,5.7,11.5,10.2,12.1,17.8,12.7,9.6,7.6,2.5,7.6,1.3
113,54,"03.03.2012","Dierkes",190,144,40,3.133,2.537,3.7,4.7,6.8,8.9,11.6,12.6,11.6,6.8,3.2,5.8,24.2,NA
113,55,"02.06.2012","Dierkes",108,84,19,3.404,2.986,0.9,0.9,3.7,2.8,14.8,7.4,14.8,10.2,9.3,13,20.4,1.9
113,56,"21.02.2013","Wolff",190,156,28,3.051,2.626,4.7,4.7,5.8,10,7.4,15.3,10,11.1,7.9,5.3,17.9,NA
113,57,"08.06.2013","Wolff",176,147,25,3.202,2.847,2.3,4,5.1,3.4,9.7,12.5,14.2,13.6,12.5,6.3,16.5,NA
113,58,"15.02.2014","Dierkes",141,124,12,2.611,2.303,4.3,12.1,12.1,12.8,14.2,11.3,5.7,7.8,2.1,5.7,11.3,0.7
113,59,"14.06.2014","Dierkes",232,179,43,2.885,2.27,13.4,7.3,6.5,7.8,13.8,5.6,7.3,4.7,6,4.7,22.4,0.4
113,60,"19.02.2015","Wolff",233,196,36,3.078,2.715,3.9,4.3,6.9,7.3,9,13.3,13.3,8.6,8.6,9,15.9,NA
113,61,"13.06.2015","Wolff",214,169,44,3.397,2.97,NA,2.8,3.7,8.9,5.1,9.8,14,12.1,11.2,11.2,21,NA
114,52,"30.03.2011","Rank",56,49,7,3.346,3.11,NA,1.8,1.8,8.9,3.6,10.7,12.5,19.6,16.1,12.5,12.5,NA
114,52,"07.12.2010","Rank",153,131,22,3.314,3.031,NA,0.7,2.6,5.9,9.2,17.6,11.1,13.1,15.7,9.8,14.4,NA
114,53,"11.10.2011","Rank",87,77,7,3.139,2.891,2.3,2.3,4.6,5.7,16.1,4.6,13.8,12.6,14.9,9.2,11.5,2.3
114,53,"19.07.2011","Rank",158,142,15,2.784,2.535,7.6,4.4,10.8,10.1,13.3,10.1,3.8,13.9,8.9,7,10.1,NA
114,54,"04.02.2012","Müller-Seitz",180,168,12,2.887,2.736,2.8,4.4,6.1,9.4,13.3,13.3,16.1,7.8,10.6,9.4,6.7,NA
114,55,"26.09.2012","Maurer",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,55,"24.07.2012","Maurer",60,51,8,3.045,2.7,1.7,NA,13.3,10,13.3,6.7,15,10,5,10,15,NA
114,56,"01.12.2012","Maurer",140,112,24,3.446,3.058,1.4,3.6,2.9,5,7.9,10,10.7,5,14.3,19.3,20,NA
114,57,"16.07.2013","Maurer",307,272,33,2.891,2.625,5.5,2.9,12.4,9.1,9.8,9.4,11.1,9.1,11.1,7.5,11.1,1
114,58,"14.12.2013","Maurer",354,341,13,2.684,2.595,1.4,5.4,11,8.8,22.3,11,13,9.3,6.5,7.6,3.7,NA
114,59,"29.07.2014","Maurer",236,199,34,3.145,2.797,0.4,2.1,3.8,9.3,16.5,8.9,17.4,8.5,10.2,6.4,15.7,0.8
114,60,"13.12.2014","Maurer",369,281,84,3.364,2.848,1.1,3.3,4.1,7.6,9.2,12.7,8.9,8.7,11.1,8.9,23.8,0.5
114,61,"21.07.2015","Maurer",204,147,57,3.611,3.072,NA,0.5,2.5,5.4,5.4,11.8,14.7,9.8,10.3,11.8,27.9,NA
114,62,"12.12.2015","Maurer",352,305,47,3.261,2.993,0.3,0.9,3.7,6.5,10.5,12.8,13.9,14.5,13.4,10.2,13.4,NA
115,52,"26.02.2011","Geldermann",239,198,37,3.025,2.616,1.3,2.1,10.5,13.8,11.3,10.5,11.7,10.5,5.9,5.4,17.2,NA
115,53,"28.09.2011","Geldermann",71,62,6,2.92,2.652,2.8,4.2,9.9,8.5,15.5,11.3,8.5,8.5,9.9,8.5,11.3,1.4
115,53,"01.08.2011","Geldermann",142,124,17,3.094,2.832,NA,2.1,4.9,9.9,10.6,14.8,14.8,16.2,6.3,7.7,12,0.7
115,54,"03.04.2012","Geldermann",16,13,0,1.838,1.838,25,6.3,12.5,12.5,12.5,NA,NA,12.5,NA,NA,NA,18.8
115,55,"06.08.2012","Geldermann",357,329,27,2.626,2.424,2.2,9.5,15.1,12.3,11.2,12,10.1,9.5,6.4,3.6,7.8,NA
115,56,"22.03.2013","Geldermann",55,37,10,3.295,2.465,3.6,3.6,3.6,9.1,14.5,12.7,9.1,7.3,1.8,1.8,32.7,NA
115,57,"29.07.2013","Geldermann",422,391,26,2.448,2.259,4.7,10.7,16.4,13.7,16.4,9.5,6.9,6.6,5.2,2.6,6.9,0.5
115,58,"04.04.2014","Geldermann",68,61,4,2.766,2.546,2.9,5.9,10.3,14.7,5.9,14.7,14.7,8.8,8.8,2.9,8.8,1.5
115,59,"11.08.2014","Geldermann",383,322,48,3.031,2.665,0.8,5.5,6.8,9.9,13.6,11.5,12.5,9.7,7.8,6,15.7,0.3
115,60,"25.03.2015","Geldermann",102,89,10,2.807,2.487,2,2.9,11.8,11.8,20.6,11.8,9.8,7.8,6.9,2,12.7,NA
115,61,"18.07.2015","Geldermann",349,294,53,3.008,2.642,4.3,2.6,6.6,11.2,9.2,14.9,13.5,8.9,8,5.2,15.5,0.3
116,52,NA,"Toporowski",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,52,"02.03.2011","Toporowski",212,194,18,2.755,2.547,1.9,4.7,12.7,13.2,14.2,14.2,6.1,12.3,5.7,6.6,8.5,NA
116,53,"16.07.2011","Toporowski",173,150,19,3.365,3.115,NA,NA,1.7,4,12.7,13.3,10.4,16.8,12.1,15.6,13.3,NA
116,54,"18.02.2012","Toporowski",268,241,22,2.929,2.705,NA,5.6,6,10.4,14.9,13.8,11.6,13.8,7.1,6.7,9.7,0.4
116,55,"21.07.2012","Toporowski",166,150,13,2.898,2.687,1.2,3.6,7.8,10.8,10.8,18.1,13.3,11.4,7.8,5.4,9,0.6
116,56,"07.03.2013","Toporowski",244,216,26,2.95,2.683,1.2,3.3,8.2,12.7,13.1,10.7,13.5,9.4,9.8,6.1,11.5,0.4
116,56,"23.02.2013","Toporowski",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7
116,57,"13.07.2013","Toporowski",178,153,19,3.014,2.685,0.6,4.5,7.3,9.6,16.3,11.2,10.7,7.3,12.4,5.1,14,1.1
116,58,"08.02.2014","Toporowski",326,292,31,3.13,2.916,NA,0.6,4.6,8,10.1,16,17.2,12.6,13.2,6.4,10.1,1.2
116,59,"26.07.2014","Toporowski",135,122,12,3.004,2.792,NA,3,5.2,8.9,12.6,14.8,17.8,14.8,8.9,4.4,9.6,NA
116,60,"07.02.2015","Toporowski",325,298,25,2.722,2.523,2.2,7.1,10.8,13.2,13.5,12,11.7,8.6,7.7,4.9,8,0.3
116,61,"24.07.2015","Toporowski",98,88,10,2.708,2.448,6.1,8.2,7.1,9.2,12.2,16.3,15.3,7.1,6.1,2,10.2,NA
121,52,"29.03.2011","Korn",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,52,"15.02.2011","Korn",115,96,19,2.803,2.359,3.5,8.7,8.7,19.1,5.2,13,7.8,10.4,3.5,1.7,16.5,1.7
121,54,"21.02.2012","Korn",156,109,46,3.465,2.803,2.6,2.6,6.4,5.8,5.8,9,11.5,10.9,7.1,8.3,30.1,NA
121,56,"13.02.2013","Korn",134,89,44,3.539,2.8,6.7,1.5,3.7,6,4.5,9,7.5,9,6.7,11.9,33.6,NA
121,58,"18.02.2014","Korn",74,56,18,3.273,2.718,12.2,1.4,1.4,5.4,4.1,2.7,13.5,24.3,6.8,4.1,24.3,NA
121,60,"17.02.2015","Korn",101,79,22,3.14,2.622,8.9,2,7.9,3,6.9,15.8,9.9,9.9,7.9,5.9,21.8,NA
122,53,"27.07.2011","Liebau",40,40,0,2.982,2.982,5,2.5,5,10,NA,15,10,12.5,17.5,17.5,NA,5
122,55,"08.08.2012","Liebau",29,26,3,3.066,2.842,3.4,10.3,3.4,3.4,13.8,3.4,10.3,10.3,17.2,13.8,10.3,NA
122,57,"02.08.2013","Liebau",17,14,3,3.094,2.686,17.6,5.9,NA,5.9,5.9,5.9,5.9,5.9,NA,29.4,17.6,NA
123,53,"18.07.2011","Reus",75,72,3,2.578,2.474,2.7,5.3,14.7,8,22.7,14.7,5.3,5.3,12,2.7,4,2.7
123,56,"11.02.2013","Reus",62,56,6,2.982,2.766,1.6,3.2,9.7,12.9,11.3,9.7,9.7,6.5,12.9,12.9,9.7,NA
123,59,"30.07.2014","Reus",41,32,9,3.198,2.691,2.4,2.4,12.2,7.3,12.2,4.9,12.2,4.9,9.8,9.8,22,NA
124,54,"13.02.2012","Reus",39,37,2,2.351,2.208,7.7,10.3,12.8,12.8,28.2,7.7,NA,7.7,2.6,5.1,5.1,NA
124,57,"22.07.2013","Reus",29,28,1,2.572,2.486,13.8,6.9,3.4,13.8,17.2,NA,17.2,NA,13.8,10.3,3.4,NA
124,60,"16.02.2015","Reus",12,11,1,2.725,2.518,NA,NA,25,8.3,16.7,8.3,8.3,16.7,8.3,NA,8.3,NA
125,53,"25.07.2011","Liebau",16,15,0,2.825,2.68,6.3,6.3,6.3,NA,25,12.5,6.3,12.5,NA,18.8,6.3,NA
125,55,"10.08.2012","Liebau",20,17,3,2.965,2.606,5,5,NA,20,10,10,10,10,10,5,15,NA
125,57,"31.07.2013","Liebau",26,26,0,2.742,2.742,7.7,3.8,3.8,7.7,19.2,15.4,7.7,7.7,7.7,19.2,NA,NA
127,55,"24.07.2012","Reus",12,12,0,1.917,1.917,NA,8.3,16.7,66.7,8.3,NA,NA,NA,NA,NA,NA,NA
127,58,"29.11.2013","Reus",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,61,"01.06.2015","Reus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,53,"25.07.2011","Hitz",41,35,6,2.903,2.532,4.9,2.4,7.3,17.1,12.2,12.2,4.9,7.3,9.8,4.9,14.6,2.4
366,55,"09.11.2012","Hitz",38,19,18,4.153,3.305,NA,NA,NA,5.3,NA,2.6,7.9,10.5,18.4,5.3,50,NA
366,55,"30.07.2012","Hitz",49,36,12,3.282,2.661,2,2,4.1,6.1,20.4,8.2,8.2,12.2,10.2,NA,26.5,NA
366,59,"04.08.2014","Hitz",51,35,15,3.371,2.626,NA,2,9.8,9.8,15.7,5.9,3.9,9.8,5.9,5.9,31.4,NA
366,61,"27.07.2015","Hitz",62,39,23,3.732,2.985,4.8,1.6,3.2,4.8,4.8,1.6,6.5,9.7,14.5,11.3,37.1,NA
324,56,"26.10.2012","Liebau",11,11,0,2.3,2.3,NA,18.2,9.1,9.1,18.2,27.3,9.1,9.1,NA,NA,NA,NA
324,58,"22.10.2013","Liebau",11,11,0,1.991,1.991,18.2,18.2,9.1,NA,27.3,9.1,18.2,NA,NA,NA,NA,NA
64,59,"22.05.2014","Hitz",11,10,1,2.509,2.26,NA,18.2,9.1,NA,36.4,18.2,NA,NA,9.1,NA,9.1,NA
64,61,"14.05.2015","Hitz",16,13,3,2.831,2.331,NA,NA,12.5,25,18.8,6.3,12.5,6.3,NA,NA,18.8,NA
128,53,"28.07.2011","Oestreicher",19,18,1,2.649,2.511,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,5.3,5.3
128,56,"21.03.2013","Oestreicher",28,17,11,3.863,3.126,NA,NA,NA,NA,NA,NA,3.6,NA,NA,7.1,39.3,NA
128,59,"22.04.2014","Oestreicher",18,11,7,3.59,2.693,NA,NA,NA,5.6,11.1,NA,NA,NA,5.6,NA,38.9,NA
129,57,"08.04.2013","Oestreicher",32,25,7,3.053,2.508,NA,3.1,6.3,9.4,21.9,18.8,9.4,3.1,6.3,NA,21.9,NA
129,60,"17.11.2014","Oestreicher",30,23,7,3.273,2.748,NA,NA,6.7,6.7,13.3,20,13.3,3.3,10,3.3,23.3,NA
88,52,"28.01.2011","Notz",40,39,1,2.326,2.255,NA,17.5,15,15,10,17.5,10,5,2.5,2.5,2.5,2.5
88,53,"15.06.2011","Dierkes",32,29,3,2.855,2.608,NA,3.1,9.4,12.5,12.5,18.8,3.1,9.4,9.4,3.1,9.4,9.4
88,54,"15.12.2011","Dierkes",11,9,2,3.091,2.667,NA,NA,18.2,NA,18.2,18.2,NA,18.2,NA,9.1,18.2,NA
88,55,"04.07.2012","Dierkes",11,11,0,2.627,2.627,NA,18.2,9.1,NA,27.3,NA,9.1,9.1,18.2,9.1,NA,NA
88,56,"18.12.2012","Dierkes",17,17,0,2.529,2.529,NA,NA,NA,41.2,11.8,17.6,17.6,5.9,NA,5.9,NA,NA
88,57,"30.05.2013","Dierkes",19,18,1,2.774,2.65,NA,15.8,NA,10.5,5.3,21.1,21.1,5.3,10.5,5.3,5.3,NA
88,59,"13.06.2014","Dierkes",13,13,0,3.131,3.131,NA,NA,NA,NA,15.4,23.1,NA,30.8,30.8,NA,NA,NA
88,61,"05.06.2015","Dierkes",17,17,0,1.659,1.659,23.5,17.6,17.6,17.6,23.5,NA,NA,NA,NA,NA,NA,NA
935,52,"21.02.2011","Hitz",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
935,52,"21.02.2010","Hitz",28,26,2,2.789,2.619,3.6,3.6,10.7,14.3,10.7,14.3,7.1,10.7,10.7,7.1,7.1,NA
935,54,"20.02.2012","Hitz",42,38,4,2.795,2.563,2.4,9.5,4.8,14.3,16.7,4.8,16.7,7.1,4.8,9.5,9.5,NA
935,56,"18.02.2013","Hitz",44,35,8,3.58,3.214,NA,NA,4.5,2.3,2.3,11.4,15.9,13.6,11.4,18.2,20.5,NA
935,58,"11.02.2014","Hitz",49,47,2,2.5,2.394,6.1,12.2,8.2,6.1,16.3,14.3,18.4,8.2,4.1,2,4.1,NA
935,60,"10.02.2015","Hitz",53,44,9,2.913,2.486,5.7,1.9,11.3,17,9.4,9.4,5.7,11.3,5.7,5.7,17,NA
131,52,"17.01.2011","Balleer",53,48,5,2.808,2.579,1.9,5.7,7.5,13.2,11.3,11.3,17,17,3.8,1.9,9.4,NA
131,54,"19.12.2011","Balleer",28,28,0,2.518,2.518,NA,3.6,3.6,21.4,32.1,17.9,3.6,7.1,3.6,7.1,NA,NA
131,56,"14.03.2013","Balleer",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,56,"14.01.2013","Balleer",28,24,4,2.804,2.437,NA,7.1,14.3,17.9,10.7,14.3,7.1,NA,7.1,7.1,14.3,NA
131,58,"27.01.2014","Balleer",30,24,6,2.733,2.167,10,16.7,6.7,3.3,6.7,23.3,3.3,6.7,NA,3.3,20,NA
131,60,"22.12.2014","Balleer",55,50,5,2.716,2.488,3.6,9.1,18.2,9.1,5.5,10.9,7.3,14.5,3.6,9.1,9.1,NA
131,62,"21.12.2015","Balleer",47,40,7,2.945,2.585,NA,6.4,10.6,12.8,10.6,10.6,14.9,6.4,6.4,6.4,14.9,NA
1680,53,"26.07.2011","Koch",47,42,5,2.951,2.707,NA,4.3,6.4,14.9,12.8,10.6,17,6.4,8.5,8.5,10.6,NA
1680,55,"31.07.2012","Koch",54,42,12,3.243,2.781,3.7,5.6,1.9,5.6,14.8,5.6,13,7.4,9.3,11.1,16.7,NA
1680,57,"10.10.2013","Koch",23,20,3,3.013,2.715,4.3,4.3,4.3,8.7,13,13,4.3,17.4,13,4.3,13,NA
1680,57,"16.07.2013","Koch",21,19,2,2.829,2.6,NA,9.5,4.8,14.3,14.3,19,4.8,4.8,14.3,4.8,9.5,NA
1680,58,"11.02.2014","Klett",21,18,3,3.048,2.722,NA,4.8,14.3,4.8,19,9.5,4.8,4.8,4.8,19,14.3,NA
1680,60,"10.02.2015","Klett",11,9,2,3.082,2.656,9.1,9.1,NA,9.1,9.1,NA,18.2,9.1,NA,18.2,18.2,NA
1680,60,"03.02.2015","Klett",54,42,12,3.274,2.781,5.6,NA,1.9,5.6,11.1,18.5,11.1,9.3,7.4,7.4,22.2,NA
272,58,"21.01.2014","Oestreicher",21,14,7,3.595,2.893,NA,NA,NA,NA,4.8,NA,4.8,NA,NA,4.8,33.3,NA
272,61,"30.07.2015","Oestreicher",12,12,0,2.975,2.975,NA,NA,NA,8.3,NA,8.3,16.7,25,NA,8.3,NA,NA
273,57,"30.05.2013","Dierkes",23,23,0,2.404,2.404,NA,NA,8.7,8.7,4.3,NA,4.3,4.3,NA,NA,NA,NA
273,59,"07.05.2014","Dierkes",11,9,2,2.655,2.133,NA,9.1,27.3,9.1,NA,36.4,NA,NA,NA,NA,18.2,NA
273,61,"20.05.2015","Dierkes",18,15,3,2.944,2.533,NA,11.1,5.6,5.6,5.6,16.7,33.3,5.6,NA,NA,16.7,NA
281,57,"28.06.2013","Korn",20,19,1,2.335,2.195,NA,25,5,15,20,10,5,15,NA,NA,5,NA
281,59,"11.07.2014","Korn",18,17,1,2.333,2.176,5.6,NA,16.7,22.2,27.8,11.1,11.1,NA,NA,NA,5.6,NA
281,61,"03.07.2015","Korn",18,15,3,2.639,2.167,5.6,5.6,11.1,11.1,33.3,5.6,5.6,5.6,NA,NA,16.7,NA
282,53,"30.08.2011","Hitz",16,16,0,2.188,2.187,NA,NA,NA,12.5,18.8,NA,NA,NA,NA,NA,NA,NA
282,55,"04.10.2012","Schumann",15,15,0,2.34,2.34,NA,NA,NA,20,60,13.3,6.7,NA,NA,NA,NA,NA
282,57,"26.04.2013","Schumann",13,13,0,2.208,2.208,NA,7.7,15.4,15.4,30.8,30.8,NA,NA,NA,NA,NA,NA
282,59,"21.08.2014","Schumann",12,12,0,2.117,2.117,NA,NA,33.3,25,25,8.3,8.3,NA,NA,NA,NA,NA
282,61,"13.08.2015","Schumann",13,8,5,3.223,2.112,NA,NA,15.4,7.7,38.5,NA,NA,NA,NA,NA,38.5,NA
313,57,"12.07.2013","Reus",10,10,0,2,2,10,NA,30,10,40,10,NA,NA,NA,NA,NA,NA
313,60,"30.01.2015","Reus",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,57,"10.06.2013","Toporowski",23,23,0,2.274,2.274,NA,13,4.3,30.4,13,26.1,4.3,8.7,NA,NA,NA,NA
291,59,"30.06.2014","Toporowski",26,26,0,2.415,2.415,NA,3.8,11.5,23.1,15.4,23.1,15.4,3.8,3.8,NA,NA,NA
291,61,"22.06.2015","Toporowski",22,22,0,2.155,2.155,NA,13.6,18.2,22.7,13.6,22.7,4.5,4.5,NA,NA,NA,NA
132,53,"27.07.2011","Möller",119,96,23,2.901,2.398,1.7,4.2,10.1,21,13.4,6.7,8.4,8.4,5.9,0.8,19.3,NA
132,55,"25.07.2012","Wolff",101,86,15,2.905,2.54,5.9,3,9.9,5.9,16.8,11.9,10.9,8.9,8.9,3,14.9,NA
132,57,"17.07.2013","Wolff",123,103,19,2.924,2.52,6.5,6.5,6.5,9.8,13.8,8.1,11.4,5.7,9.8,5.7,16.3,NA
132,59,"05.08.2014","Wolff",106,77,29,3.218,2.547,1.9,4.7,7.5,11.3,9.4,11.3,12.3,4.7,2.8,6.6,27.4,NA
132,61,"28.07.2015","Wolff",109,80,28,3.276,2.651,0.9,3.7,7.3,12.8,6.4,9.2,10.1,11.9,8.3,2.8,26.6,NA
300,53,"04.08.2011","Geldermann",188,165,23,3.075,2.794,0.5,3.2,7.4,8.5,10.1,11.7,15.4,10.1,6.9,10.1,12.2,3.7
300,55,"07.08.2012","Geldermann",120,99,19,3.051,2.637,3.3,5,5.8,10,8.3,14.2,15,9.2,5,6.7,17.5,NA
300,57,"30.07.2013","Geldermann",121,90,31,3.553,3.054,0.8,0.8,2.5,4.1,9.1,12.4,6.6,15.7,8.3,14,25.6,NA
300,59,"12.08.2014","Geldermann",125,108,17,3.128,2.833,NA,1.6,4.8,8,17.6,12,12.8,10.4,12.8,6.4,13.6,NA
300,61,"04.08.2015","Geldermann",153,129,24,2.936,2.552,3.9,5.9,6.5,14.4,13.1,10.5,7.2,7.8,7.2,7.8,15.7,NA
134,53,"21.07.2011","Toporowski",104,85,19,3.226,2.82,NA,2.9,4.8,7.7,10.6,12.5,12.5,13.5,12.5,2.9,18.3,1.9
134,55,"31.10.2012","Toporowski",44,32,12,3.361,2.747,NA,4.5,6.8,13.6,9.1,4.5,4.5,11.4,6.8,11.4,27.3,NA
134,55,"26.07.2012","Toporowski",32,31,0,2.5,2.5,3.1,12.5,NA,15.6,18.8,15.6,9.4,9.4,9.4,3.1,NA,3.1
134,57,"30.10.2013","Toporowski",71,42,24,3.842,3.043,NA,2.8,2.8,5.6,5.6,2.8,9.9,5.6,14.1,9.9,40.8,NA
134,57,"01.10.2013","Toporowski",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,57,"18.07.2013","Toporowski",48,36,11,3.019,2.358,2.1,10.4,4.2,10.4,18.8,6.3,12.5,8.3,NA,2.1,25,NA
134,59,"29.10.2014","Toporowski",80,53,27,3.77,3.143,NA,NA,2.5,11.3,2.5,5,11.3,5,10,18.8,33.8,NA
134,59,"31.07.2014","Toporowski",63,50,13,3.071,2.57,3.2,3.2,6.3,15.9,14.3,3.2,12.7,7.9,7.9,4.8,20.6,NA
134,61,"11.11.2015","Toporowski",86,59,27,3.581,2.932,NA,NA,3.5,9.3,9.3,9.3,10.5,5.8,14,7,31.4,NA
134,61,"23.07.2015","Toporowski",27,19,8,3.544,2.932,NA,7.4,NA,7.4,3.7,14.8,11.1,3.7,3.7,18.5,29.6,NA
136,52,"17.02.2011","Toporowski",58,54,4,2.719,2.55,6.9,3.4,15.5,12.1,8.6,8.6,12.1,5.2,12.1,8.6,6.9,NA
136,54,"16.02.2012","Toporowski",44,41,3,2.952,2.802,2.3,NA,4.5,9.1,18.2,13.6,18.2,11.4,4.5,11.4,6.8,NA
136,56,"17.04.2013","Toporowski",49,36,13,3.19,2.536,4.1,NA,6.1,10.2,14.3,14.3,10.2,10.2,2,2,26.5,NA
136,56,"14.02.2013","Toporowski",29,23,6,3.152,2.67,NA,6.9,6.9,10.3,13.8,6.9,10.3,3.4,17.2,3.4,20.7,NA
136,58,"30.04.2014","Toporowski",56,40,15,3.62,3.067,NA,1.8,3.6,3.6,5.4,10.7,10.7,14.3,8.9,12.5,28.6,NA
136,58,"13.02.2014","Toporowski",19,16,3,3.074,2.712,NA,5.3,5.3,5.3,21.1,15.8,5.3,5.3,21.1,NA,15.8,NA
136,60,"29.04.2015","Toporowski",92,76,16,2.915,2.476,4.3,5.4,9.8,9.8,13,14.1,8.7,6.5,7.6,3.3,17.4,NA
136,60,"12.02.2015","Toporowski",43,33,10,3.153,2.594,2.3,2.3,7,7,9.3,25.6,11.6,4.7,2.3,4.7,23.3,NA
297,52,"17.02.2011","Möller",100,98,2,2.429,2.374,4,4,9,25,16,14,9,4,7,2,2,4
320,58,"04.12.2013","Geldermann",18,15,3,2.511,2.013,11.1,11.1,11.1,NA,33.3,11.1,5.6,NA,NA,NA,16.7,NA
320,60,"12.12.2014","Geldermann",20,18,2,2.025,1.694,15,25,10,25,10,NA,5,NA,NA,NA,10,NA
320,62,"15.01.2016","Geldermann",20,20,0,2.18,2.18,NA,15,15,20,5,45,NA,NA,NA,NA,NA,NA
321,52,"18.02.2011","Geldermann",136,123,13,3.05,2.835,0.7,2.2,6.6,8.8,11,11,16.2,11,10.3,8.8,9.6,3.7
321,54,"17.02.2012","Geldermann",114,108,6,2.432,2.289,0.9,10.5,19.3,15.8,15.8,10.5,9.6,4.4,6.1,1.8,5.3,NA
321,56,"02.05.2013","Geldermann",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,56,"12.02.2013","Geldermann",128,115,12,3.057,2.837,NA,2.3,5.5,9.4,11.7,14.8,16.4,13.3,6.3,10.2,10.2,NA
321,58,"14.02.2014","Geldermann",121,110,11,2.956,2.752,2.5,1.7,4.1,14,13.2,13.2,10.7,14,12.4,5,9.1,NA
321,60,"19.12.2014","Geldermann",199,173,26,2.688,2.341,1.5,6.5,15.1,18.6,14.6,8,9.5,6,4,3,13.1,NA
321,62,"18.12.2015","Geldermann",149,131,18,2.891,2.601,1.3,6,8.1,14.1,10.1,16.8,9.4,8.1,6.7,7.4,12.1,NA
328,52,"31.03.2011","Rank",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,52,"21.02.2011","Rank",114,83,31,3.348,2.7,3.5,5.3,6.1,7,7.9,7.9,3.5,10.5,8.8,8.8,27.2,3.5
328,56,"11.02.2013","Maurer",107,100,7,2.37,2.186,8.4,15,15.9,13.1,9.3,5.6,13.1,4.7,5.6,2.8,6.5,NA
328,58,"10.02.2014","Maurer",116,107,9,2.636,2.437,4.3,7.8,13.8,9.5,15.5,12.1,11.2,6,6.9,5.2,7.8,NA
328,60,"09.02.2015","Maurer",146,130,16,2.899,2.641,NA,2.7,8.9,13,15.1,15.1,16.4,5.5,5.5,6.8,11,NA
328,62,"15.02.2016","Maurer",130,107,23,3.091,2.68,3.1,6.9,6.9,8.5,10.8,5.4,14.6,7.7,8.5,10,17.7,NA
329,58,"10.12.2013","Brehm",18,18,0,1.794,1.794,NA,11.1,5.6,NA,5.6,5.6,5.6,NA,NA,NA,NA,NA
329,60,"01.10.2014","Maurer",19,19,0,1.974,1.974,NA,10.5,42.1,21.1,10.5,10.5,NA,5.3,NA,NA,NA,NA
